iter	Passed	Remaining
0	5	503
1	9	470
2	13	444
3	17	414
4	21	402
5	24	391
6	28	384
7	33	383
8	37	374
9	40	365
10	44	359
11	48	359
12	53	356
13	57	354
14	62	353
15	66	349
16	70	343
17	75	342
18	78	336
19	82	330
20	86	323
21	90	320
22	95	319
23	99	314
24	103	310
25	107	305
26	111	300
27	115	295
28	118	291
29	122	286
30	126	282
31	130	277
32	134	273
33	139	269
34	143	265
35	147	261
36	151	257
37	154	252
38	158	248
39	162	244
40	166	240
41	168	232
42	172	228
43	176	224
44	180	220
45	184	216
46	188	212
47	191	207
48	195	203
49	199	199
50	203	195
51	208	192
52	211	187
53	215	183
54	218	178
55	221	174
56	225	170
57	229	166
58	233	162
59	237	158
60	241	154
61	245	150
62	249	146
63	253	142
64	255	137
65	258	133
66	260	128
67	262	123
68	264	118
69	266	114
70	268	109
71	270	105
72	271	100
73	273	95
74	274	91
75	276	87
76	277	82
77	278	78
78	280	74
79	281	70
80	282	66
81	284	62
82	285	58
83	286	54
84	287	50
85	288	47
86	290	43
87	291	39
88	292	36
89	293	32
90	295	29
91	296	25
92	297	22
93	299	19
94	300	15
95	301	12
96	302	9
97	304	6
98	305	3
99	306	0
